bos,book,admitted,trial,lost,decision,card
rate,bank,consumer,economy,hold,risk,november
rate,rise,election,growth,business,quarter,january
chancellor,chairman,brown,economic,compared,gordon,course
european,production,europe,dollar,test,effort,consumer
march,currently,decision,robert,remains,date,remain
share,13,board,body,boost,2002,fall
life,live,16,take,reach,pressure,leading
rate,bank,consumer,economy,risk,november,hold
bank,economic,economy,job,16,spent,bring
production,announced,boost,launch,programme,proposal,project
business,report,health,policy,leader,action,economic
dollar,recent,account,current,euro,york,view
economic,cost,wednesday,nation,record,according,weekend
club,euro,football,talk,share,executive,record
comment,talk,meeting,president,business,included,organisation
rule,spending,tax,economy,2005,report,global
job,growth,economy,main,rate,december,analyst
act,foreign,cost,account,bank,executive,european
court,sale,list,sold,previous,president,included
share,offer,cash,agency,launched,fund,launch
price,dollar,tuesday,cut,wednesday,euro,low
dollar,european,europe,euro,comment,american,economy
trade,talk,nation,process,bring,benefit,body
growth,economy,economic,2005,euro,european,fall
price,cut,rose,investment,bank,financial,mark
london,customer,head,financial,call,change,business
found,deal,sale,public,euro,brought,authority
financial,american,investment,share,analyst,business,card
nation,rate,meeting,friday,account,thursday,trade
official,site,production,potential,meet,city,idea
price,fell,production,cut,level,16,rose
sale,profit,summer,growth,despite,business,fell
growth,profit,fourth,quarter,net,economy,share
europe,product,site,risk,make,union,trade
newspaper,benefit,health,meanwhile,data,product,pay
rate,economy,growth,investment,previous,official,price
london,share,demand,extra,chancellor,euro,authority
charge,michael,amount,include,europe,money,brought
card,bank,economy,spending,consumer,january,low
attack,information,york,charge,court,security,price
tax,claim,court,law,believe,forced,production
offer,share,cash,phone,deal,board,october
euro,deal,sold,buy,chief executive,pay,share
united,proposal,club,share,board,bid,investment
euro,profit,2003,tough,compared,sign,board
bid,share,fund,reported,monday,deal,spokesman
charge,cut,quarter,ahead,job,january,move
profit,rose,quarter,european,2003,period,earlier
economy,south,economic,2005,spending,job,industry
tax,economic,economy,dollar,money,foreign,president
bank,president,dollar,account,money,2002,investment
figure,rate,january,previous,growth,job,labour
bid,offer,london,newspaper,process,talk,control
growth,mean,rate,economy,price,remains,break
price,fall,analyst,helped,wednesday,meet,remain
profit,price,annual,record,tax,rise,share
cost,previous,president,figure,dollar,september,economic
tax,spending,foreign,economic,law,health,investment
euro,2003,profit,legal,financial,fourth,brought
network,deal,mobile,project,september,investment,mp
film,business,report,hard,result,profit,friday
sale,lost,remains,started,rose,launch,question
cost,monday,club,french,fall,agreed,100
act,foreign,cost,account,bank,executive,european
rate,december,fell,economic,growth,2003,november
rate,business,fund,account,economy,life,course
figure,quarter,economy,production,growth,period,fall
united,club,bid,board,support,offer,amount
financial,share,bank,analyst,business,newspaper,create
deal,sale,annual,rival,buy,chairman,bring
quarter,growth,economy,fourth,performance,fell,summer
bank,american,13,sent,particularly,meet,chief executive
executive,york,chief executive,focus,agency,board,launched
bid,statement,office,executive,business,robert,16
chairman,financial,security,analyst,executive,spokesman,agency
quarter,rate,annual,spending,economy,rise,growth
director,deal,financial,leading,action,fourth,sent
risk,agency,investment,tax,political,foreign,mean
french,euro,project,running,30,main,france
martin,executive,take,summer,18,launch,make
bank,court,tax,legal,bid,tuesday,december
drive,competition,demand,international,move,press,benefit
club,united,board,football,proposal,offer,bid
ireland,growth,share,economic,investment,strong,value
period,reported,strong,growth,helped,sport,global
warned,account,share,street,security,cut,result
share,boost,demand,offer,industry,authority,step
deal,development,talk,compared,production,period,25
economy,growth,spending,figure,fell,fall,consumer
recent,profit,rate,growth,share,remains,remain
rate,dollar,meeting,sign,boost,minute,wednesday
december,rose,50,november,growth,price,national
spending,business,development,economy,law,growth,euro
job,cut,euro,create,particularly,production,annual
talk,bank,share,report,profit,focus,monday
euro,bank,sale,fell,board,step,moment
foreign,investment,benefit,proposal,boost,100,consumer
trade,25,failed,union,talk,office,european
analyst,york,bid,online,internet,control,20
list,sold,price,business,40,bbc news,hand
offer,global,share,create,talk,held,fell
office,main,allow,story,software,idea,feel
continue,return,price,action,share,profit,benefit
customer,mobile,president,january,money,business,bos
court,attempt,claimed,tax,sold,bank,help
price,sale,fell,november,rate,association,house
production,programme,report,organisation,2003,seven,child
dollar,euro,bank,south,comment,foreign,trade
video,product,price,industry,compared,experience,remain
price,share,cost,analyst,profit,increase,rise
europe,price,profit,sold,trade,nation,currently
job,growth,labour,benefit,economy,rise,chancellor
share,leading,question,product,monday,analyst,future
rate,rise,quarter,economy,bank,growth,september
rule,economic,european,change,head,meeting,current
meeting,price,value,forward,brown,global,100
economy,economic,family,getting,compared,reason,15
french,economy,growth,short,25,bank,december
euro,share,sale,fell,profit,product,change
giant,claim,main,move,authority,newspaper,claimed
share,development,thursday,december,strong,site,authority
economic,left,growth,industry,agency,giant,france
claim,re,attack,reach,claimed,involved,september
growth,president,lost,international,effort,foreign,economic
economy,economic,hope,change,press,growing,value
profit,warned,half,analyst,record,six,fell
money,financial,statement,euro,account,lost,result
bank,profit,dollar,organisation,18,2002,total
data,economic,bank,rate,policy,economy,growth
sale,december,rise,price,period,cut,seen
economy,growth,economic,newspaper,18,reported,cut
global,chief executive,executive,business,euro,competition,ago
denied,financial,court,charge,lost,wrong,book
programme,step,child,product,music,star,extra
profit,reach,rival,15,giant,medium,analyst
tax,business,sold,giant,currently,sale,remains
director,failed,child,charge,security,remains,admitted
product,analyst,deal,sale,production,potential,launch
bid,london,offer,proposal,future,cash,benefit
court,bank,tax,sale,authority,claimed,account
december,profit,internet,launched,spending,phone,position
sale,law,agreed,total,pay,2003,decided
share,wrong,reach,mobile,2002,investment,phone
agency,development,bank,economic,economy,support,biggest
price,production,industry,project,investment,demand,2005
sale,december,boost,street,failed,rate,strong
bank,financial,euro,law,action,money,agency
job,october,september,dollar,street,low,instead
deal,taking,project,25,total,15,giant
cost,reported,job,deal,tough,profit,book
price,offer,deal,sign,production,potential,bid
law,appeal,court,decision,profit,brought,friday
trade,job,available,industry,change,simply,policy
risk,economic,nation,fear,bank,wednesday,meeting
deal,october,bid,phone,lost,report,profit
customer,cut,industry,weekend,100,11,computer
bank,foreign,law,growth,remains,fourth,organisation
trial,evidence,meet,2002,executive,wrong,short
price,30,president,forced,rise,public,short
analyst,account,sold,legal,pay,action,taking
price,house,november,annual,rate,rose,data
network,cut,job,business,special,phone,data
mobile,investment,deal,risk,project,mp,security
comment,allow,foreign,consumer,american,industry,deal
economy,13,demand,growth,2003,public,rose
share,profit,customer,account,100,investment,rule
newspaper,buy,medium,increase,recent,deal,euro
right,trade,product,court,include,euro,profit
executive,information,issue,belief,buy,giant,chief executive
sale,profit,euro,annual,launch,england,result
economy,rose,figure,total,rate,strong,rise
share,sale,public,list,technology,board,helped
tax,amount,increase,rate,target,close,financial
authority,president,13,title,economy,official,benefit
euro,bid,london,boost,rival,buy,trying
profit,sale,quarter,fourth,share,2003,extra
figure,december,november,rose,analyst,low,bank
executive,york,chief executive,focus,agency,board,launched
value,rise,price,past,figure,remains,stand
share,robert,cash,fund,investment,buy,currently
economic,consumer,price,16,short,cash,attempt
sale,consumer,december,spending,rise,2001,rate
bank,economic,job,report,economy,compared,particularly
performance,strong,economic,economy,risk,helped,boost
tax,money,president,economy,boost,pay,january
reported,tuesday,deal,project,bid,giant,chairman
call,centre,customer,rate,message,data,reason
executive,launch,announced,future,senior,rival,wednesday
analyst,product,deal,meanwhile,force,pressure,buy
dollar,fall,monday,price,investment,account,trade
rate,found,quarter,increase,growth,major,level
authority,economy,started,election,team,national,2003
france,european,rule,decision,2005,battle,fall
leader,president,political,blair,event,global,business
euro,european,offer,association,rule,cost,extra
manager,price,cost,fell,fall,running,50
economic,president,election,price,job,share,victory
claim,step,president,card,appeal,decided,authority
profit,2005,sale,fall,development,trial,particularly
financial,investment,involved,pay,share,fund,announced
trial,board,court,york,robert,book,admitted
access,proposal,local,network,price,rival,competition
trade,product,nation,organisation,hand,30,price
claim,position,based,bank,found,europe,london
bank,trial,chairman,court,biggest,saying,executive
bank,public,sold,investment,official,decided,sign
french,euro,support,industry,create,union,effort
production,launched,sold,cost,investment,list,100
united,bid,club,board,proposal,offer,fight
production,risk,due,site,robert,break,amount
hour,president,agency,instead,action,extra,euro
euro,dollar,thursday,economic,analyst,foreign,concern
child,account,fund,tax,financial,investment,share
bank,fund,half,december,cost,2005,dollar
share,re,fell,cost,lost,europe,dollar
investment,current,previous,foreign,march,president,rise
job,cut,investment,report,ensure,bbc news,union
bank,development,record,according,16,sent,customer
close,president,office,organisation,claimed,accused,radio
global,business,research,economic,little,share,cost
job,growth,rate,president,january,fall,low
economy,cut,spending,tax,warned,benefit,risk
profit,quarter,fourth,compared,net,ago,sale
woman,foreign,saying,newspaper,reported,position,conservative
rose,rate,total,figure,record,quarter,december
job,customer,agency,development,friday,product,statement
fund,agreed,bank,share,executive,deal,personal
deal,help,right,tax,sold,bank,pay
agency,city,12,share,sale,didn,growing
financial,information,charge,bos,denied,talk,court
analyst,political,money,economic,performance,2002,current
rule,brown,economic,current,chancellor,boost,change
profit,dollar,beat,11,cut,growth,earlier
house,price,quarter,figure,period,2003,sale
reported,buy,deal,dollar,annual,agreed,quarter
phone,bid,share,rival,global,lost,profit
offer,executive,bid,london,stage,chief executive,talk
profit,price,result,cost,rise,rose,quarter
bid,offer,value,pressure,rival,south,statement
october,price,biggest,rose,fall,instead,eight
name,product,court,cost,reach,term,europe
book,reported,economy,december,real,price,report
trade,dollar,october,cost,york,price,figure
bid,talk,offer,cash,london,move,board
trade,belief,access,free,product,economic,remains
cut,forced,share,run,cost,move,short
share,potential,free,user,tuesday,demand,fell
south,bank,talk,offer,share,authority,release
euro,dollar,pressure,meeting,europe,european,help
figure,benefit,rose,total,ve,looking,january
cut,union,pay,deal,cost,september,attack
report,system,proposal,standard,leading,fall,tax
sale,rose,sold,increase,2005,record,2003
share,2003,spent,included,special,production,bos
deal,sale,business,six,profit,football,remains
power,price,technology,launch,sold,sport,consumer
sunday,business,bill,city,line,london,16
economy,economic,growth,period,major,2005,gordon
consumer,january,spending,french,rose,economic,increase
total,consumer,reported,internet,attempt,biggest,claim
profit,project,claim,legal,fell,break,period
executive,sale,september,reported,thursday,late,chief executive
recently,increase,deal,13,authority,helped,potential
line,16,agreed,share,2005,sale,focus
tax,meeting,recent,european,body,amount,annual
trial,development,major,executive,life,process,risk
growing,south,demand,16,production,meet,sale
investment,meet,increase,president,european,french,board
press,reported,local,close,main,price,report
director,pay,york,agreed,john,robert,gordon
bid,meeting,sunday,executive,annual,reported,competition
cost,cash,benefit,warned,share,run,tough
election,brown,rate,rule,rise,labour,gordon
tax,court,sale,winner,main,law,analyst
share,giant,tuesday,customer,break,battle,bid
book,main,financial,industry,health,risk,amount
claim,sale,forced,production,tax,pay,fight
sale,profit,annual,statement,analyst,figure,tough
newspaper,job,profit,saying,cost,remain,reported
card,cash,spending,school,pay,compared,customer
profit,process,paul,rose,software,reported,list
charge,2002,2001,meeting,book,york,launch
rule,foreign,meet,financial,line,extra,act
talk,sale,french,decided,stop,rival,comment
club,friday,euro,football,monday,pay,share
rate,minute,bank,spending,consumer,decision,paul
tax,spending,south,cut,economic,focus,30
production,analyst,tax,authority,access,thursday,buy
summer,view,investment,sold,season,bank,financial
economy,cost,euro,rate,strong,growth,2005
share,euro,wednesday,statement,executive,vote,agency
economic,euro,economy,european,europe,recent,decision
customer,analyst,11,site,newspaper,senior,remain
fell,price,figure,november,association,2005,picture
rule,euro,rival,competition,brought,authority,bring
euro,mobile,profit,sale,strong,fourth,bring
fund,instead,united,rule,pay,change,situation
price,deal,agreed,head,bring,attempt,similar
city,investment,offer,share,analyst,tough,cash
court,bank,account,december,stop,tax,agreed
law,bank,rate,president,party,change,proposal
force,france,meanwhile,test,deal,martin,proposal
price,share,bid,weekend,range,launch,sold
figure,sale,december,bank,england,reported,november
trial,executive,york,accused,found,lost,attempt
economy,september,march,business,bit,fall,quarter
sale,profit,growth,dollar,rise,programme,europe
bid,club,sunday,investment,united,share,football
demand,price,range,agency,40,rose,reported
international,bid,make,comment,product,include,seen
south,demand,sale,analyst,continue,growth,13
support,growth,financial,economic,economy,current,european
mobile,phone,charge,statement,sent,spokesman,european
euro,share,main,help,spent,range,stop
foreign,create,production,investment,president,national,life
profit,increase,sale,compared,reported,low,consumer
economic,tax,growth,sale,simply,senior,instead
bank,manager,2003,euro,account,hand,centre
hope,share,2005,health,authority,sent,evidence
investment,foreign,agency,bid,free,national,saying
rate,economy,growth,investment,previous,official,price
prime minister,prime,office,found,accused,money,tough
demand,price,fell,short,focus,range,drive
business,euro,reported,financial,change,sale,evidence
rose,october,november,rise,union,trade,growth
profit,low,name,fourth,drive,helped,meanwhile
profit,quarter,sale,internet,fourth,customer,rose
rate,price,spending,data,consumer,pressure,increase
british,report,child,annual,product,personal,euro
euro,profit,fell,2003,sale,range,dollar
decided,demand,europe,decision,take,customer,growing
project,attack,effort,major,spent,press,agency
share,third,profit,board,dollar,paul,started
job,biggest,share,analyst,deal,cost,sale
share,major,fell,profit,drive,sent,accused
sale,europe,euro,strong,profit,rose,chairman
job,growth,rate,president,january,fall,low
quarter,american,price,result,industry,analyst,cost
production,rate,increase,rose,economy,growth,figure
television,technology,deal,development,product,consumer,tv
union,job,six,access,south,united,trade
january,association,seen,compared,council,rose,18
city,giant,share,deal,euro,buy,agreed
rise,rate,growth,economic,move,september,quarter
reported,report,project,share,fell,authority,agency
price,house,bank,rise,fell,fall,december
dollar,trade,november,economic,euro,fall,consumer
euro,recently,share,sale,site,remains,question
100,bos,award,chief executive,price,executive,helped
house,december,price,figure,fall,recent,fell
dollar,economy,euro,growth,account,current,europe
bank,york,attempt,list,foreign,economic,official
rival,buy,50,giant,deal,short,range
bank,fund,trade,president,take,process,included
bank,profit,investment,rose,rise,growth,result
standard,offer,life,buy,vote,board,value
report,annual,50,called,director,picture,soon
economic,wednesday,cost,record,similar,financial,nation
phone,friday,offer,deal,bid,legal,network
project,prime minister,prime,support,agency,investment,city
business,executive,bank,charge,share,authority,bring
bank,account,customer,lost,card,authority,charles
dollar,low,data,trade,economy,euro,fall
bank,foreign,economy,investment,security,hope,business
consumer,sale,economic,economy,december,growth,board
trade,value,economic,economy,figure,2003,compared
profit,share,financial,2005,strong,job,biggest
dollar,euro,south,foreign,bank,lost,wednesday
profit,share,2005,street,analyst,fell,quarter
forced,proposal,trade,concern,law,industry,european
centre,sale,saturday,strong,report,association,street
spending,rise,cut,money,cost,cash,agency
price,team,authority,city,sport,charge,official
sale,rose,january,spending,consumer,rise,figure
